id	identifier	bibliographicCitation	title	creator	date	type
108946		Rev. Hydrobiol. trop.,27(1): 3-21,1994	Rev. Hydrobiol. trop.	Conforti, V.	1994	
108947		Rev. Hydrobiol. trop.,27(1): 3-21,1994	Rev. Hydrobiol. trop.	Conforti, V.	1994	
108948		Levantamento das Euglenaceae pigmentadas do Distrito Federal, Brasil, Tese de Doutorado, Instituto de Biociências, Universidade de São Paulo,289,1982	Levantamento das Euglenaceae pigmentadas do Distrito Federal, Brasil, Tese de Doutorado, Instituto de Biociências, Universidade de São Paulo	Cardoso, M.B.	1982	
108949		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108950		1997		Carvalho, A.M.	1997	
108951		1997		Carvalho, A.M.	1997	
108952		Smithsonian Contr. Bot.,30: 89,1976	Smithsonian Contr. Bot.		1976	
108965		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108965		Oecol. Bras.,11(3): 433-449,2007	Oecol. Bras.	Panosso, R. et al.	2007	
108968		Iheringia, Bot.,46: 27-56,1995	Iheringia, Bot.	Alves-da-Silva, S.M. & Avila, I.R.	1995	
108969		Amazoniana,2: 243-283,1974	Amazoniana	Uherkovich, G. & Schmidt, G.W.	1974	
108970		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108973		Rev. Hydrobiol. trop.,26(1): 3-18,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
